beta,mean,std,n,max,median,nonzero_mean,disease_free(%)
0.01,"[0.0, 0.012, 0.012, 0.004, 0.016, 0.002, 0.0, 0.0, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.10899430957182031, 0.10899430957182034, 0.06318214912406737, 0.1406540690284813, 0.044721359549995836, 0.0, 0.0, 0.044721359549995836, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",500,"[0.0, 1.0, 1.0, 1.0, 2.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.1428571428571428), np.float64(1.0), 0.0, 0.0, np.float64(1.0), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[np.float64(100.0), np.float64(98.8), np.float64(98.8), np.float64(99.6), np.float64(98.6), np.float64(99.8), np.float64(100.0), np.float64(100.0), np.float64(99.8), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]"
0.02,"[0.004, 0.02, 0.026, 0.032, 0.032, 0.014, 0.0, 0.002, 0.002, 0.008, 0.0, 0.002, 0.002, 0.0, 0.002, 0.002, 0.002, 0.002, 0.0]","[0.06318214912406736, 0.16629885935039715, 0.17141401789545227, 0.2169565400732643, 0.18720601535305842, 0.11760809209681615, 0.0, 0.044721359549995836, 0.044721359549995836, 0.1093614184238638, 0.0, 0.044721359549995836, 0.044721359549995836, 0.0, 0.044721359549995836, 0.044721359549995836, 0.044721359549995836, 0.044721359549995836, 0.0]",500,"[1.0, 2.0, 2.0, 2.0, 2.0, 1.0, 0.0, 1.0, 1.0, 2.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[np.float64(1.0), np.float64(1.25), np.float64(1.0833333333333333), np.float64(1.3333333333333333), np.float64(1.0666666666666667), np.float64(1.0), 0.0, np.float64(1.0), np.float64(1.0), np.float64(1.3333333333333333), 0.0, np.float64(1.0), np.float64(1.0), 0.0, np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), 0.0]","[np.float64(99.6), np.float64(98.4), np.float64(97.6), np.float64(97.6), np.float64(97.0), np.float64(98.6), np.float64(100.0), np.float64(99.8), np.float64(99.8), np.float64(99.4), np.float64(100.0), np.float64(99.8), np.float64(99.8), np.float64(100.0), np.float64(99.8), np.float64(99.8), np.float64(99.8), np.float64(99.8), np.float64(100.0)]"
0.03,"[0.002, 0.082, 0.074, 0.1, 0.088, 0.042, 0.012, 0.014, 0.016, 0.014, 0.014, 0.028, 0.012, 0.018, 0.018, 0.022, 0.014, 0.016, 0.006]","[0.04472135954999583, 0.3626831649750439, 0.3588614818091427, 0.39789022765900733, 0.39059073497011004, 0.21984691339807874, 0.1089943095718206, 0.14780965932841514, 0.2363381294307922, 0.14780965932841497, 0.11760809209681622, 0.21751004860117285, 0.12604671971575446, 0.18369400364178284, 0.20435145959369994, 0.17197427220547065, 0.1176080920968162, 0.14065406902848107, 0.0773042812773505]",500,"[1.0, 3.0, 3.0, 3.0, 3.0, 2.0, 1.0, 2.0, 5.0, 2.0, 1.0, 3.0, 2.0, 3.0, 3.0, 2.0, 1.0, 2.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[np.float64(1.0), np.float64(1.4642857142857142), np.float64(1.48), np.float64(1.4705882352941178), np.float64(1.5172413793103448), np.float64(1.105263157894737), np.float64(1.0), np.float64(1.4), np.float64(2.0), np.float64(1.4), np.float64(1.0), np.float64(1.4), np.float64(1.2), np.float64(1.5), np.float64(1.8), np.float64(1.2222222222222223), np.float64(1.0), np.float64(1.1428571428571428), np.float64(1.0)]","[np.float64(99.8), np.float64(94.39999999999999), np.float64(95.0), np.float64(93.2), np.float64(94.19999999999999), np.float64(96.2), np.float64(98.8), np.float64(99.0), np.float64(99.2), np.float64(99.0), np.float64(98.6), np.float64(98.0), np.float64(99.0), np.float64(98.8), np.float64(99.0), np.float64(98.2), np.float64(98.6), np.float64(98.6), np.float64(99.4)]"
0.04,"[0.008, 0.118, 0.148, 0.128, 0.134, 0.098, 0.024, 0.034, 0.048, 0.046, 0.078, 0.07, 0.016, 0.02, 0.05, 0.068, 0.108, 0.072, 0.028]","[0.0891734478845316, 0.45220014367521105, 0.56810340869065, 0.6036097161069809, 0.5519540801672048, 0.4058638329560804, 0.19875363144361252, 0.20230138828838481, 0.2861113759340567, 0.24495715547016095, 0.4052708834569253, 0.3967553776060541, 0.14065406902848107, 0.19919678390334106, 0.3157521160619416, 0.37902945354327106, 0.514651077394115, 0.3887392911360335, 0.20809278029384023]",500,"[1.0, 4.0, 5.0, 6.0, 4.0, 3.0, 2.0, 2.0, 3.0, 2.0, 4.0, 6.0, 2.0, 3.0, 4.0, 4.0, 6.0, 4.0, 3.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[np.float64(1.0), np.float64(1.5128205128205128), np.float64(1.8048780487804879), np.float64(2.1333333333333333), np.float64(1.9142857142857144), np.float64(1.4848484848484849), np.float64(1.5), np.float64(1.1333333333333333), np.float64(1.5), np.float64(1.2105263157894737), np.float64(1.7727272727272727), np.float64(1.5217391304347827), np.float64(1.1428571428571428), np.float64(1.6666666666666667), np.float64(1.5625), np.float64(1.7894736842105263), np.float64(1.9285714285714286), np.float64(1.565217391304348), np.float64(1.2727272727272727)]","[np.float64(99.2), np.float64(92.2), np.float64(91.8), np.float64(94.0), np.float64(93.0), np.float64(93.4), np.float64(98.4), np.float64(97.0), np.float64(96.8), np.float64(96.2), np.float64(95.6), np.float64(95.39999999999999), np.float64(98.6), np.float64(98.8), np.float64(96.8), np.float64(96.2), np.float64(94.39999999999999), np.float64(95.39999999999999), np.float64(97.8)]"
0.05,"[0.008, 0.226, 0.202, 0.188, 0.218, 0.15, 0.042, 0.14, 0.142, 0.222, 0.264, 0.182, 0.064, 0.114, 0.146, 0.166, 0.164, 0.126, 0.06]","[0.08917344788453156, 0.8174720307399487, 0.7683597812919439, 0.7521885236762824, 0.8269484188114482, 0.6166526745600703, 0.24567603348079037, 0.6821514944076891, 0.6439451301635253, 0.8912376839084156, 0.9981465790085061, 0.8112905674106733, 0.3901389711803595, 0.5980965130125311, 0.6940081372643879, 0.6318563800183883, 0.7029169114260474, 0.5465541536625328, 0.3355968571083485]",500,"[1.0, 6.0, 5.0, 6.0, 6.0, 6.0, 3.0, 7.0, 6.0, 6.0, 6.0, 8.0, 5.0, 7.0, 7.0, 5.0, 7.0, 5.0, 4.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[np.float64(1.0), np.float64(2.404255319148936), np.float64(2.3488372093023258), np.float64(2.292682926829268), np.float64(2.422222222222222), np.float64(1.9230769230769231), np.float64(1.2352941176470589), np.float64(2.3333333333333335), np.float64(2.21875), np.float64(2.9210526315789473), np.float64(3.142857142857143), np.float64(2.757575757575758), np.float64(1.7777777777777777), np.float64(2.28), np.float64(2.5172413793103448), np.float64(2.1842105263157894), np.float64(2.2162162162162162), np.float64(1.8529411764705883), np.float64(1.5)]","[np.float64(99.2), np.float64(90.60000000000001), np.float64(91.4), np.float64(91.8), np.float64(91.0), np.float64(92.2), np.float64(96.6), np.float64(94.0), np.float64(93.60000000000001), np.float64(92.4), np.float64(91.60000000000001), np.float64(93.4), np.float64(96.39999999999999), np.float64(95.0), np.float64(94.19999999999999), np.float64(92.4), np.float64(92.60000000000001), np.float64(93.2), np.float64(96.0)]"
0.06,"[0.014, 0.324, 0.332, 0.408, 0.466, 0.344, 0.192, 0.278, 0.366, 0.342, 0.354, 0.178, 0.096, 0.164, 0.206, 0.18, 0.212, 0.114, 0.064]","[0.11760809209681641, 1.1196120141032049, 1.1698346148289982, 1.5330480987059256, 1.6716557258393354, 1.2652532281969981, 0.7901802133305226, 1.0482909079331442, 1.3325146116950337, 1.2165508587740952, 1.2915185016406694, 0.703780230772688, 0.5012849221214323, 0.7000601176589554, 0.8348400540412917, 0.777695068287356, 0.9277809844517264, 0.5947364314094823, 0.34661836156954084]",500,"[1.0, 8.0, 8.0, 12.0, 11.0, 8.0, 6.0, 8.0, 10.0, 8.0, 8.0, 6.0, 5.0, 7.0, 7.0, 7.0, 10.0, 7.0, 3.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[np.float64(1.0), np.float64(3.375), np.float64(3.4583333333333335), np.float64(4.533333333333333), np.float64(4.854166666666667), np.float64(3.8222222222222224), np.float64(2.4615384615384617), np.float64(3.2325581395348837), np.float64(3.893617021276596), np.float64(3.489795918367347), np.float64(3.765957446808511), np.float64(2.3421052631578947), np.float64(2.0), np.float64(2.411764705882353), np.float64(2.641025641025641), np.float64(2.6470588235294117), np.float64(2.9444444444444446), np.float64(2.111111111111111), np.float64(1.6)]","[np.float64(98.6), np.float64(90.4), np.float64(90.4), np.float64(91.0), np.float64(90.4), np.float64(91.0), np.float64(92.2), np.float64(91.4), np.float64(90.60000000000001), np.float64(90.2), np.float64(90.60000000000001), np.float64(92.4), np.float64(95.19999999999999), np.float64(93.2), np.float64(92.2), np.float64(93.2), np.float64(92.80000000000001), np.float64(94.6), np.float64(96.0)]"
0.07,"[0.02, 0.404, 0.488, 0.546, 0.656, 0.46, 0.314, 0.408, 0.432, 0.316, 0.358, 0.182, 0.126, 0.192, 0.224, 0.266, 0.274, 0.168, 0.142]","[0.14014021035061452, 1.3858662455305748, 1.7145656799731706, 1.9798291458845045, 2.223409791784766, 1.5521657246807683, 1.200953195238816, 1.4730498129740817, 1.5264455680253621, 1.1038936372335257, 1.373174138421216, 0.7602841995781924, 0.588912247512767, 0.7156537714854053, 0.8714027113629773, 1.0026238123134923, 1.0339546045395258, 0.6547008985277661, 0.5748886796484814]",500,"[1.0, 9.0, 13.0, 14.0, 15.0, 10.0, 12.0, 10.0, 12.0, 8.0, 12.0, 7.0, 6.0, 5.0, 8.0, 8.0, 11.0, 5.0, 4.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[np.float64(1.0), np.float64(4.04), np.float64(4.979591836734694), np.float64(5.571428571428571), np.float64(6.6938775510204085), np.float64(4.6938775510204085), np.float64(3.3404255319148937), np.float64(4.25), np.float64(4.5), np.float64(3.3617021276595747), np.float64(3.977777777777778), np.float64(2.3947368421052633), np.float64(2.1724137931034484), np.float64(2.4), np.float64(2.731707317073171), np.float64(3.2439024390243905), np.float64(3.1136363636363638), np.float64(2.27027027027027), np.float64(2.0285714285714285)]","[np.float64(98.0), np.float64(90.0), np.float64(90.2), np.float64(90.2), np.float64(90.2), np.float64(90.2), np.float64(90.60000000000001), np.float64(90.4), np.float64(90.4), np.float64(90.60000000000001), np.float64(91.0), np.float64(92.4), np.float64(94.19999999999999), np.float64(92.0), np.float64(91.8), np.float64(91.8), np.float64(91.2), np.float64(92.60000000000001), np.float64(93.0)]"
0.08,"[0.02, 0.568, 0.68, 0.784, 0.806, 0.534, 0.29, 0.394, 0.418, 0.292, 0.316, 0.188, 0.19, 0.306, 0.334, 0.326, 0.34, 0.22, 0.166]","[0.16629885935039568, 1.8623406308327388, 2.3708314329295352, 2.6757547209438575, 2.709806284626341, 1.7942359279454425, 1.143904294103376, 1.364730368225131, 1.5178549889680049, 1.137243441524545, 1.1518670041243433, 0.8330930849409055, 0.7476750872351837, 1.1502217264684533, 1.2055499580700901, 1.1842841965154431, 1.2129891530309478, 0.83964874801317, 0.8171778014105849]",500,"[2.0, 11.0, 18.0, 17.0, 17.0, 12.0, 10.0, 9.0, 11.0, 9.0, 10.0, 9.0, 6.0, 9.0, 9.0, 9.0, 9.0, 9.0, 10.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[np.float64(1.25), np.float64(5.68), np.float64(6.8), np.float64(7.84), np.float64(8.06), np.float64(5.34), np.float64(3.4523809523809526), np.float64(4.104166666666667), np.float64(4.354166666666667), np.float64(3.2444444444444445), np.float64(3.590909090909091), np.float64(2.6857142857142855), np.float64(2.4358974358974357), np.float64(3.477272727272727), np.float64(3.630434782608696), np.float64(3.5434782608695654), np.float64(3.6956521739130435), np.float64(2.558139534883721), np.float64(2.515151515151515)]","[np.float64(98.4), np.float64(90.0), np.float64(90.0), np.float64(90.0), np.float64(90.0), np.float64(90.0), np.float64(91.60000000000001), np.float64(90.4), np.float64(90.4), np.float64(91.0), np.float64(91.2), np.float64(93.0), np.float64(92.2), np.float64(91.2), np.float64(90.8), np.float64(90.8), np.float64(90.8), np.float64(91.4), np.float64(93.4)]"
0.09,"[0.022, 0.778, 0.872, 0.918, 0.728, 0.37, 0.374, 0.416, 0.376, 0.352, 0.384, 0.2, 0.25, 0.354, 0.376, 0.36, 0.334, 0.23, 0.214]","[0.1598972616042473, 2.532497401019864, 3.091720146930165, 3.091665050675954, 2.4556213373206774, 1.3641193654833033, 1.4388413842596106, 1.5164244413001113, 1.3394821480145613, 1.4409193235549282, 1.3145341380123996, 0.7932581654380053, 0.9105813069865132, 1.2424860333565813, 1.3632096982352824, 1.2734375864458949, 1.1921772406594116, 0.8523808457564185, 0.8108754763070293]",500,"[2.0, 16.0, 24.0, 20.0, 16.0, 11.0, 12.0, 11.0, 11.0, 20.0, 9.0, 6.0, 6.0, 8.0, 9.0, 8.0, 9.0, 7.0, 6.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[np.float64(1.1), np.float64(7.78), np.float64(8.89795918367347), np.float64(9.18), np.float64(7.28), np.float64(4.111111111111111), np.float64(3.978723404255319), np.float64(4.622222222222222), np.float64(4.177777777777778), np.float64(3.911111111111111), np.float64(4.266666666666667), np.float64(2.4390243902439024), np.float64(2.9069767441860463), np.float64(4.0227272727272725), np.float64(4.2727272727272725), np.float64(4.0), np.float64(3.7954545454545454), np.float64(2.738095238095238), np.float64(2.675)]","[np.float64(98.0), np.float64(90.0), np.float64(90.2), np.float64(90.0), np.float64(90.0), np.float64(91.0), np.float64(90.60000000000001), np.float64(91.0), np.float64(91.0), np.float64(91.0), np.float64(91.0), np.float64(91.8), np.float64(91.4), np.float64(91.2), np.float64(91.2), np.float64(91.0), np.float64(91.2), np.float64(91.60000000000001), np.float64(92.0)]"
0.1,"[0.026, 0.756, 1.178, 1.032, 0.856, 0.358, 0.308, 0.4, 0.39, 0.326, 0.392, 0.204, 0.278, 0.374, 0.39, 0.38, 0.376, 0.248, 0.284]","[0.1827314465633276, 2.461011408813177, 3.9330973175117387, 3.327630124351109, 3.001546695477226, 1.342176917457423, 1.1115787036592855, 1.536463941290445, 1.4134694165715669, 1.1910336360676343, 1.4513955691665836, 0.8244655765851887, 1.0521073422989873, 1.4092892507873498, 1.3934789439149295, 1.347304887886125, 1.3499142702683564, 0.9861241715745165, 1.0815190089561382]",500,"[2.0, 15.0, 25.0, 19.0, 20.0, 10.0, 8.0, 16.0, 12.0, 10.0, 10.0, 6.0, 7.0, 10.0, 10.0, 9.0, 10.0, 8.0, 9.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[np.float64(1.1818181818181819), np.float64(7.56), np.float64(11.78), np.float64(10.32), np.float64(8.73469387755102), np.float64(3.7291666666666665), np.float64(3.5), np.float64(4.3478260869565215), np.float64(4.148936170212766), np.float64(3.4680851063829787), np.float64(4.260869565217392), np.float64(2.7567567567567566), np.float64(3.3095238095238093), np.float64(4.065217391304348), np.float64(4.239130434782608), np.float64(4.042553191489362), np.float64(4.0), np.float64(3.1), np.float64(3.380952380952381)]","[np.float64(97.8), np.float64(90.0), np.float64(90.0), np.float64(90.0), np.float64(90.2), np.float64(90.4), np.float64(91.2), np.float64(90.8), np.float64(90.60000000000001), np.float64(90.60000000000001), np.float64(90.8), np.float64(92.60000000000001), np.float64(91.60000000000001), np.float64(90.8), np.float64(90.8), np.float64(90.60000000000001), np.float64(90.60000000000001), np.float64(92.0), np.float64(91.60000000000001)]"
